GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
305,101,0.68,0,7,3,3,68
303,102,0.65,9,7,3,3,65
303,103,9,2,7,4,4,85
315,103,0.66,11,7,3,3,66
316,103,0.8101,13,7,4,4,81.01
323,103,7.92,7,7,3,3,74.2
323,104,8.7,7,7,4,4,82
324,104,0.899,29,7,4,4,89.9
316,104,0.895,38,7,4,4,89.5
319,105,6.8,6,7,3,3,63
315,105,7.42,0,7,3,3,69.2
314,106,7.63,6,7,3,3,71.3
318,106,7.36,2,7,3,3,68.6
307,107,8,18,7,4,4,75
328,109,0.62,33,7.5,3,3,62
315,110,8.6,3,7.5,4,4,81
327,110,7.125,39,7.5,3,3,66.25
317,110,8.04,24,7.5,4,4,75.4
313,111,8.5,31,7.5,4,4,80
321,112,0.72,28,7.5,3,3,72
318,112,0.803,16,7.5,4,4,80.3
316,112,0.6464,29,7.5,3,3,64.64
320,112,0.8048,28,7.5,4,4,80.48
319,112,7.52,35,7.5,3,3,70.2
330,113,0.773,37,7.5,4,4,77.3
319,113,9.3,11,7.5,4,4,88
312,113,0.65,0,7.5,3,3,65
324,113,0.655,0,7.5,3,3,65.5
321,114,7.58,38,8,3,3,70.8
326,115,9.38,1,8,4,4,88.8
325,116,8.48,2,8,4,4,79.8
305,117,0.8034,52,8.5,4,4,80.34
318,118,8.43,30,8.5,4,4,79.3
325,119,8.24,0,8.5,4,4,77.4
310,85,8.98,35,6,4,4,84.8
311,85,7.3,19,6,3,3,68
299,86,0.6,18,6,3,3,60
305,95,0.6321,35,6.5,3,3,63.21
305,95,8.5,0,6.5,4,4,80
305,95,0.72,27,6.5,3,3,72
305,95,0.58,0,6.5,2,2,58
287,95,0.599,80,6.5,2,2,59.9
305,95,7.7,2,6.5,3,3,72
305,95,7.3,48,6.5,3,3,68
305,95,0.71,0,6.5,3,3,71
305,95,7.7,1,6.5,3,3,72
305,95,7.45,0,6.5,3,3,69.5
305,95,0.6582,24,6.5,3,3,65.82
305,95,7.5,24,6.5,3,3,70
315,95,0.65,36,6.5,3,3,65
305,95,6.99,26,6.5,3,3,64.9
304,95,0.78,0,6.5,4,4,78
310,95,8,30,6.5,4,4,75
305,95,7.97,39,6.5,3,3,74.7
309,95,0.7,0,6.5,3,3,70
307,97,0.61,0,6.5,3,3,61
306,97,0.8,55,6.5,4,4,80
309,97,0.77,43,6.5,4,4,77
325,99,6.4,8,6.5,2,2,59
305,99,0.722,72,6.5,3,3,72.2
308,99,0.625,56,6.5,3,3,62.5
311,100,0,0,6.5,2,2,0
300,100,0.65,0,6.5,3,3,65
308,100,8.6,34,6.5,4,4,81
315,100,8.06,42,6.5,4,4,75.6
307,101,7.61,37,7,3,3,71.1
303,101,7.7,30,7,3,3,72
307,101,7.69,33,7,3,3,71.9
300,101,7.5,1,7,3,3,70
310,101,0.6,25,7,3,3,60
318,101,8.3,3,7,4,4,78
317,102,0.7824,21,7,4,4,78.24
311,102,0.6598,25,7,3,3,65.98
310,103,7.5,20,7,3,3,70
318,104,7.76,37,7,3,3,72.6
326,105,5.8,28,7,2,2,53
307,105,0.65,0,7,3,3,65
309,105,0.62,24,7,3,3,62
313,105,0.69,11,7,3,3,69
313,106,7.58,40,7,3,3,70.8
309,106,0.728,20,7,3,3,72.8
315,107,7.71,0,7,3,3,72.1
305,108,7.78,0,7,3,3,72.8
316,109,0.695,28,7.5,3,3,69.5
316,109,7.26,11,7.5,3,3,67.6
311,109,0.7,29,7.5,3,3,70
314,115,7,0,8,3,3,65
315,115,0.5959,30,8,2,2,59.59
321,116,0.68,0,8,3,3,68
